,State,Year,Month,Indicator,Data Value,Percent Complete,Percent Pending Investigation,State Name,Predicted Value
8,AK,2015,April,Number of Drug Overdose Deaths,126,100.0,0.0,Alaska,126
21,AK,2015,August,Number of Drug Overdose Deaths,124,100.0,0.0,Alaska,124
34,AK,2015,December,Number of Drug Overdose Deaths,121,100.0,0.0,Alaska,121
36,AK,2015,February,Number of Drug Overdose Deaths,127,100.0,0.0,Alaska,127
52,AK,2015,January,Number of Drug Overdose Deaths,126,100.0,0.0,Alaska,126
71,AK,2015,July,Number of Drug Overdose Deaths,117,100.0,0.0,Alaska,117
74,AK,2015,June,Number of Drug Overdose Deaths,121,100.0,0.0,Alaska,121
85,AK,2015,March,Number of Drug Overdose Deaths,125,100.0,0.0,Alaska,125
98,AK,2015,May,Number of Drug Overdose Deaths,125,100.0,0.0,Alaska,125
109,AK,2015,November,Heroin (T40.1),34,100.0,0.0,Alaska,34
110,AK,2015,November,"Synthetic opioids, excl. methadone (T40.4)",15,100.0,0.0,Alaska,15
111,AK,2015,November,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",54,100.0,0.0,Alaska,54
112,AK,2015,November,Psychostimulants with abuse potential (T43.6),26,100.0,0.0,Alaska,27
113,AK,2015,November,Natural & semi-synthetic opioids (T40.2),48,100.0,0.0,Alaska,48
115,AK,2015,November,Number of Drug Overdose Deaths,115,100.0,0.0,Alaska,115
117,AK,2015,November,Methadone (T40.3),10,100.0,0.0,Alaska,11
118,AK,2015,November,"Opioids (T40.0-T40.4,T40.6)",79,100.0,0.0,Alaska,79
119,AK,2015,November,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",64,100.0,0.0,Alaska,64
120,AK,2015,October,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",55,100.0,0.0,Alaska,55
121,AK,2015,October,"Opioids (T40.0-T40.4,T40.6)",86,100.0,0.0,Alaska,86
124,AK,2015,October,Heroin (T40.1),39,100.0,0.0,Alaska,39
126,AK,2015,October,Number of Drug Overdose Deaths,120,100.0,0.0,Alaska,120
127,AK,2015,October,"Synthetic opioids, excl. methadone (T40.4)",17,100.0,0.0,Alaska,17
128,AK,2015,October,Natural & semi-synthetic opioids (T40.2),49,100.0,0.0,Alaska,49
129,AK,2015,October,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",66,100.0,0.0,Alaska,66
130,AK,2015,October,Psychostimulants with abuse potential (T43.6),27,100.0,0.0,Alaska,28
131,AK,2015,October,Methadone (T40.3),10,100.0,0.0,Alaska,11
136,AK,2015,September,Number of Drug Overdose Deaths,125,100.0,0.0,Alaska,125
145,AK,2016,April,Psychostimulants with abuse potential (T43.6),35,100.0,0.0,Alaska,36
146,AK,2016,April,"Synthetic opioids, excl. methadone (T40.4)",11,100.0,0.0,Alaska,11
147,AK,2016,April,"Opioids (T40.0-T40.4,T40.6)",95,100.0,0.0,Alaska,95
148,AK,2016,April,Heroin (T40.1),40,100.0,0.0,Alaska,40
149,AK,2016,April,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",68,100.0,0.0,Alaska,68
151,AK,2016,April,Cocaine (T40.5),11,100.0,0.0,Alaska,11
152,AK,2016,April,Methadone (T40.3),18,100.0,0.0,Alaska,19
153,AK,2016,April,Number of Drug Overdose Deaths,132,100.0,0.0,Alaska,132
154,AK,2016,April,Natural & semi-synthetic opioids (T40.2),60,100.0,0.0,Alaska,60
155,AK,2016,April,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",75,100.0,0.0,Alaska,75
157,AK,2016,August,"Synthetic opioids, excl. methadone (T40.4)",12,100.0,0.0233863423760524,Alaska,13
159,AK,2016,August,Heroin (T40.1),39,100.0,0.0233863423760524,Alaska,40
160,AK,2016,August,Methadone (T40.3),19,100.0,0.0233863423760524,Alaska,20
161,AK,2016,August,Psychostimulants with abuse potential (T43.6),41,100.0,0.0233863423760524,Alaska,42
162,AK,2016,August,Number of Drug Overdose Deaths,138,100.0,0.0233863423760524,Alaska,138
163,AK,2016,August,Cocaine (T40.5),12,100.0,0.0233863423760524,Alaska,13
164,AK,2016,August,"Opioids (T40.0-T40.4,T40.6)",100,100.0,0.0233863423760524,Alaska,100
165,AK,2016,August,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",72,100.0,0.0233863423760524,Alaska,73
166,AK,2016,August,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",64,100.0,0.0233863423760524,Alaska,65
167,AK,2016,August,Natural & semi-synthetic opioids (T40.2),55,100.0,0.0233863423760524,Alaska,56
168,AK,2016,December,Psychostimulants with abuse potential (T43.6),53,100.0,0.068886337543054,Alaska,54
169,AK,2016,December,Heroin (T40.1),49,100.0,0.068886337543054,Alaska,50
171,AK,2016,December,Cocaine (T40.5),15,100.0,0.068886337543054,Alaska,16
173,AK,2016,December,"Opioids (T40.0-T40.4,T40.6)",96,100.0,0.068886337543054,Alaska,97
174,AK,2016,December,Number of Drug Overdose Deaths,129,100.0,0.068886337543054,Alaska,130
175,AK,2016,December,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",59,100.0,0.068886337543054,Alaska,60
177,AK,2016,December,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",53,100.0,0.068886337543054,Alaska,54
178,AK,2016,December,Natural & semi-synthetic opioids (T40.2),46,100.0,0.068886337543054,Alaska,47
179,AK,2016,December,Methadone (T40.3),14,100.0,0.068886337543054,Alaska,15
181,AK,2016,February,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",68,100.0,0.0,Alaska,68
182,AK,2016,February,Number of Drug Overdose Deaths,128,100.0,0.0,Alaska,128
183,AK,2016,February,"Opioids (T40.0-T40.4,T40.6)",91,100.0,0.0,Alaska,91
184,AK,2016,February,Heroin (T40.1),37,100.0,0.0,Alaska,37
185,AK,2016,February,Natural & semi-synthetic opioids (T40.2),61,100.0,0.0,Alaska,61
186,AK,2016,February,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",76,100.0,0.0,Alaska,76
187,AK,2016,February,"Synthetic opioids, excl. methadone (T40.4)",12,100.0,0.0,Alaska,12
190,AK,2016,February,Psychostimulants with abuse potential (T43.6),31,100.0,0.0,Alaska,32
191,AK,2016,February,Methadone (T40.3),15,100.0,0.0,Alaska,16
193,AK,2016,January,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",66,100.0,0.0,Alaska,66
194,AK,2016,January,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",75,100.0,0.0,Alaska,75
195,AK,2016,January,Heroin (T40.1),35,100.0,0.0,Alaska,35
197,AK,2016,January,Psychostimulants with abuse potential (T43.6),27,100.0,0.0,Alaska,28
198,AK,2016,January,"Opioids (T40.0-T40.4,T40.6)",90,100.0,0.0,Alaska,90
199,AK,2016,January,Number of Drug Overdose Deaths,126,100.0,0.0,Alaska,126
200,AK,2016,January,Natural & semi-synthetic opioids (T40.2),60,100.0,0.0,Alaska,60
202,AK,2016,January,Methadone (T40.3),13,100.0,0.0,Alaska,14
203,AK,2016,January,"Synthetic opioids, excl. methadone (T40.4)",13,100.0,0.0,Alaska,13
205,AK,2016,July,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",70,100.0,0.0,Alaska,70
206,AK,2016,July,"Synthetic opioids, excl. methadone (T40.4)",13,100.0,0.0,Alaska,13
207,AK,2016,July,Methadone (T40.3),21,100.0,0.0,Alaska,22
208,AK,2016,July,Psychostimulants with abuse potential (T43.6),39,100.0,0.0,Alaska,40
210,AK,2016,July,Heroin (T40.1),42,100.0,0.0,Alaska,42
211,AK,2016,July,"Opioids (T40.0-T40.4,T40.6)",107,100.0,0.0,Alaska,107
212,AK,2016,July,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",78,100.0,0.0,Alaska,78
213,AK,2016,July,Cocaine (T40.5),13,100.0,0.0,Alaska,13
214,AK,2016,July,Number of Drug Overdose Deaths,143,100.0,0.0,Alaska,143
215,AK,2016,July,Natural & semi-synthetic opioids (T40.2),60,100.0,0.0,Alaska,60
216,AK,2016,June,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",69,100.0,0.0,Alaska,69
217,AK,2016,June,Natural & semi-synthetic opioids (T40.2),60,100.0,0.0,Alaska,60
219,AK,2016,June,"Opioids (T40.0-T40.4,T40.6)",102,100.0,0.0,Alaska,102
221,AK,2016,June,Heroin (T40.1),40,100.0,0.0,Alaska,40
222,AK,2016,June,Number of Drug Overdose Deaths,138,100.0,0.0,Alaska,138
223,AK,2016,June,"Synthetic opioids, excl. methadone (T40.4)",12,100.0,0.0,Alaska,12
224,AK,2016,June,Methadone (T40.3),20,100.0,0.0,Alaska,21
225,AK,2016,June,Psychostimulants with abuse potential (T43.6),37,100.0,0.0,Alaska,38
226,AK,2016,June,Cocaine (T40.5),11,100.0,0.0,Alaska,11
227,AK,2016,June,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",76,100.0,0.0,Alaska,76
229,AK,2016,March,"Synthetic opioids, excl. methadone (T40.4)",12,100.0,0.0,Alaska,12
230,AK,2016,March,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",64,100.0,0.0,Alaska,64
231,AK,2016,March,Number of Drug Overdose Deaths,125,100.0,0.0,Alaska,125
232,AK,2016,March,Psychostimulants with abuse potential (T43.6),31,100.0,0.0,Alaska,32
234,AK,2016,March,Methadone (T40.3),16,100.0,0.0,Alaska,17
235,AK,2016,March,"Opioids (T40.0-T40.4,T40.6)",90,100.0,0.0,Alaska,90
236,AK,2016,March,Heroin (T40.1),38,100.0,0.0,Alaska,38
237,AK,2016,March,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",72,100.0,0.0,Alaska,72
239,AK,2016,March,Natural & semi-synthetic opioids (T40.2),57,100.0,0.0,Alaska,57
241,AK,2016,May,Psychostimulants with abuse potential (T43.6),39,100.0,0.0,Alaska,40
242,AK,2016,May,"Opioids (T40.0-T40.4,T40.6)",103,100.0,0.0,Alaska,103
243,AK,2016,May,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",70,100.0,0.0,Alaska,70
244,AK,2016,May,Number of Drug Overdose Deaths,140,100.0,0.0,Alaska,140
245,AK,2016,May,Cocaine (T40.5),11,100.0,0.0,Alaska,11
247,AK,2016,May,Methadone (T40.3),17,100.0,0.0,Alaska,18
248,AK,2016,May,Natural & semi-synthetic opioids (T40.2),63,100.0,0.0,Alaska,63
249,AK,2016,May,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",77,100.0,0.0,Alaska,77
250,AK,2016,May,"Synthetic opioids, excl. methadone (T40.4)",11,100.0,0.0,Alaska,11
251,AK,2016,May,Heroin (T40.1),44,100.0,0.0,Alaska,44
254,AK,2016,November,Heroin (T40.1),45,100.0,0.0699463744462579,Alaska,46
255,AK,2016,November,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",59,100.0,0.0699463744462579,Alaska,60
256,AK,2016,November,Psychostimulants with abuse potential (T43.6),45,100.0,0.0699463744462579,Alaska,46
258,AK,2016,November,Cocaine (T40.5),15,100.0,0.0699463744462579,Alaska,16
259,AK,2016,November,Methadone (T40.3),15,100.0,0.0699463744462579,Alaska,16
260,AK,2016,November,"Opioids (T40.0-T40.4,T40.6)",99,100.0,0.0699463744462579,Alaska,100
261,AK,2016,November,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",64,100.0,0.0699463744462579,Alaska,65
262,AK,2016,November,Number of Drug Overdose Deaths,133,100.0,0.0699463744462579,Alaska,134
263,AK,2016,November,Natural & semi-synthetic opioids (T40.2),51,100.0,0.0699463744462579,Alaska,52
264,AK,2016,October,"Opioids (T40.0-T40.4,T40.6)",94,100.0,0.0699137730132836,Alaska,95
265,AK,2016,October,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",60,100.0,0.0699137730132836,Alaska,61
269,AK,2016,October,Natural & semi-synthetic opioids (T40.2),53,100.0,0.0699137730132836,Alaska,54
270,AK,2016,October,Number of Drug Overdose Deaths,131,100.0,0.0699137730132836,Alaska,132
271,AK,2016,October,Psychostimulants with abuse potential (T43.6),44,100.0,0.0699137730132836,Alaska,45
272,AK,2016,October,Methadone (T40.3),15,100.0,0.0699137730132836,Alaska,16
273,AK,2016,October,Heroin (T40.1),38,100.0,0.0699137730132836,Alaska,39
274,AK,2016,October,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",64,100.0,0.0699137730132836,Alaska,65
275,AK,2016,October,Cocaine (T40.5),13,100.0,0.0699137730132836,Alaska,14
277,AK,2016,September,"Opioids (T40.0-T40.4,T40.6)",96,100.0,0.0469924812030075,Alaska,97
278,AK,2016,September,Number of Drug Overdose Deaths,131,100.0,0.0469924812030075,Alaska,132
280,AK,2016,September,Natural & semi-synthetic opioids (T40.2),54,100.0,0.0469924812030075,Alaska,55
281,AK,2016,September,Cocaine (T40.5),11,100.0,0.0469924812030075,Alaska,12
282,AK,2016,September,"Synthetic opioids, excl. methadone (T40.4)",10,100.0,0.0469924812030075,Alaska,11
283,AK,2016,September,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",62,100.0,0.0469924812030075,Alaska,63
284,AK,2016,September,Heroin (T40.1),37,100.0,0.0469924812030075,Alaska,38
285,AK,2016,September,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",68,100.0,0.0469924812030075,Alaska,69
286,AK,2016,September,Psychostimulants with abuse potential (T43.6),42,100.0,0.0469924812030075,Alaska,43
